thumb,index,middle,ring,pinky,palm_normal_angle,class
84.2670012624,168.648531137,171.217679472,169.1628034,163.267680788,143.76689,zero
84.3333838709,168.474702822,171.034343535,169.02380905,163.072146132,143.84001,zero
84.5725770956,168.467230595,171.199483848,169.354048697,163.479088803,143.89522,zero
84.4663608239,168.451971953,171.584037159,169.657951134,163.651947231,142.8942,zero
84.1572196318,168.354641757,171.442228771,169.555348032,163.482189709,142.6319,zero
83.8943802922,168.257489146,171.441777979,169.677567437,163.540082392,142.22007,zero
84.288400245,168.187370424,171.469494887,169.639140793,163.558933714,142.35876,zero
83.1220498216,168.055998566,171.000165268,169.035010561,162.958505445,142.98415,zero
82.4064304117,168.163792611,170.651566073,168.611019738,162.517876281,143.68964,zero
82.4541666038,168.228460842,170.685908264,168.575147584,162.388635442,143.81179,zero
82.2968673472,168.309084395,170.792568498,168.646823589,162.371860497,143.67714,zero
82.562998838,168.378424476,170.964825869,168.758688428,162.354511817,143.3759,zero
82.3471785206,168.222409295,170.856731295,168.714182915,162.312137323,143.28379,zero
81.8607734291,168.085586945,170.565478369,168.405813534,162.073695419,143.37853,zero
81.0092537453,168.014402714,170.477847042,168.265480468,162.015556849,143.46341,zero
81.054845258,167.902251008,170.591637993,168.551009696,162.466308353,143.44135,zero
81.2824476517,167.807707529,170.555014519,168.824750017,162.969829898,143.51446,zero
80.885149208,167.665666915,170.626854449,168.911548061,163.05255715,143.66631,zero
81.2582141405,167.914695612,170.538704027,168.56777098,162.485036732,143.40074,zero
80.9579658548,167.65031265,170.430145001,168.863299605,163.006671939,143.37798,zero
101.389704946,164.04257941,159.578955164,164.241105688,166.141824391,117.30256,zero
101.954527439,164.901325434,160.748788984,163.275576487,165.604630012,121.02751,zero
100.50057824,161.635525123,159.501746706,162.431829558,164.1000213,116.81816,zero
98.4730570756,160.950060999,159.502880517,162.635041346,162.813022416,117.52265,zero
98.7932358533,164.403131435,159.371467678,162.811560755,164.373734301,120.38248,zero
97.7314692864,169.373255189,161.571949723,163.838397734,166.721256659,125.97776,zero
99.5379791898,167.521235735,161.117837765,163.558933714,166.005835324,124.59698,zero
99.8781909124,163.631893795,160.624875692,163.403137099,163.476834841,120.52933,zero
98.3345135184,158.906386437,160.050251877,163.276901543,163.541830921,116.52569,zero
98.9211516361,160.828961745,160.469010775,163.584123452,164.03032605,119.36954,zero
82.173015527,172.154467238,172.008273869,170.558853085,164.877952526,133.38193,zero
82.8175326676,170.943679604,171.100951539,169.79863937,164.588092958,134.46649,zero
82.5755458955,171.164444978,171.314176385,169.997001724,164.893771244,134.99265,zero
83.8320821368,172.099566177,172.447209146,171.105117955,165.488516796,134.21375,zero
83.9087100291,171.500531266,172.323610042,171.056131838,165.69338149,134.78598,zero
82.2128286997,170.836350011,171.219236755,169.988122478,165.387429997,136.21068,zero
82.2163735678,170.689391661,171.443062054,170.218518419,165.549483065,136.55138,zero
82.1820313767,169.987753648,171.562494742,170.589520635,166.069738574,136.05335,zero
81.9631852855,170.055509125,171.726965698,170.821296274,166.102345897,135.61194,zero
82.5966033688,170.14920566,171.626848785,170.722094606,165.969334793,135.68406,zero
75.1918450254,171.357001671,172.883740196,172.13939984,163.261478976,147.98568,zero
75.6094086403,171.653131353,173.027652282,172.190407693,163.348181397,147.81796,zero
75.9025398689,171.913279598,173.291324904,172.349236912,163.447601631,147.14117,zero
76.5527533873,172.154521879,173.567360169,172.686812182,163.837373206,147.10435,zero
76.5466813491,172.106136819,173.504986882,172.649655953,163.98229616,147.44068,zero
76.6522829039,172.327079778,173.703403877,172.801340794,164.083451262,146.61389,zero
77.3264840467,172.822336795,174.062480582,173.068360209,164.232376706,146.24099,zero
76.8107159719,172.881786762,174.052713412,173.144243611,164.304325919,146.21312,zero
76.9068030731,172.788595661,173.986501558,173.057486548,164.216503347,146.08015,zero
77.7699067578,172.960292956,174.227320368,173.22691622,164.470791289,146.18006,zero
85.500950068,179.451773045,174.062248356,172.74271045,165.265033007,110.7487,zero
85.7450200478,179.21365899,174.491880915,173.162043084,165.123306582,111.44643,zero
85.3383574148,178.772838581,174.475966574,172.713285995,164.430657098,111.00199,zero
85.7997025423,178.228882316,174.020037787,172.788978151,164.592887751,110.59136,zero
85.4701185941,178.412300216,173.864036266,172.881786762,165.273283875,109.98846,zero
84.6998508406,179.234340803,174.490391934,173.674075045,166.246326285,110.34248,zero
84.6680972912,178.980093841,174.406162041,173.506981297,166.18153511,110.40592,zero
84.9438388582,178.801060923,174.096576887,173.437654877,166.583887894,111.10992,zero
86.5215032734,178.195387068,173.320148303,173.599298134,167.350890817,111.46109,zero
86.2474351028,178.327305342,173.363656608,173.183899689,166.491557397,110.84055,zero
89.2443513558,157.639126798,159.997536477,160.961549377,170.757119817,105.55842,zero
90.9464549876,159.081020713,159.036542522,161.860197366,170.148263094,102.99465,zero
90.7253344434,159.99294659,158.52415539,162.795509811,169.667035285,105.82147,zero
89.506234469,160.007631497,159.477035081,163.555969412,169.131302568,103.73314,zero
89.8465008331,158.408820816,159.781401971,162.499666997,167.774389866,103.13526,zero
92.4551344922,159.822615333,160.292149857,161.279685928,170.227520609,107.0316,zero
92.6347001655,159.043673239,160.113444788,161.255793926,170.212822042,104.87906,zero
92.2785809324,157.302890246,161.629473576,161.343958008,168.481505691,105.99245,zero
92.992567927,157.750581825,161.710097129,161.277759815,170.565806218,107.23132,zero
91.3709239237,159.127015207,163.66310776,162.668864443,169.373951868,111.11556,zero
84.5157157708,171.755256341,177.409505502,175.343263995,172.721577844,132.57153,zero
84.4830196552,171.893362766,177.517613736,175.096994694,172.622649385,133.29411,zero
84.615088193,172.340753817,177.760167414,174.770552633,171.894824427,134.04809,zero
84.1495493294,170.705210379,178.417982933,175.191360588,172.353034497,133.00384,zero
83.3542830836,171.558341987,177.282928436,175.63192145,173.709100255,131.58021,zero
83.7058739013,171.405086203,177.19675877,175.780491725,173.970286689,131.58575,zero
84.1344068,171.729834377,177.416390333,175.628656619,173.697024481,131.48549,zero
83.9916558463,171.843297479,177.409573804,175.544153519,173.471833144,131.66468,zero
83.996266224,171.583244857,177.392853501,175.569903332,173.565078886,132.00285,zero
83.6665046909,171.145539014,177.305932513,175.651606055,173.805965998,132.48067,zero
85.9318188914,177.960291957,173.696833235,174.586506356,170.043692897,152.29881,zero
80.4660488006,178.206588578,173.683323121,174.135850474,171.564475497,153.86889,zero
82.2658036469,177.831474589,174.077520659,174.21114648,172.630763649,155.0084,zero
85.5641498084,178.363382401,175.338769731,175.409052377,171.104325653,153.66344,zero
85.0303295436,178.586524681,175.047298238,175.128536508,170.976259606,153.85747,zero
85.131225098,178.212831371,174.790865616,174.810645844,171.199155999,153.70484,zero
85.2791601653,178.725273144,174.815181089,174.920816795,170.853848956,153.32754,zero
86.7397414778,178.783889827,174.674615796,175.033269029,170.660240413,153.12962,zero
87.5703676129,179.04611445,174.966893251,175.308020219,170.863547824,152.86118,zero
85.1078863416,178.518004223,175.523676612,175.386075621,171.947717412,152.91912,zero
78.6639990107,173.84865468,175.559398501,175.452915852,170.080439315,137.81591,zero
78.8152398895,172.775659282,175.168643379,175.484512307,170.768348648,139.01398,zero
77.6934222995,172.588047646,174.823459279,175.136145339,170.401990961,138.81536,zero
78.1086021784,173.682858668,175.350080524,175.466890419,170.238489892,138.08099,zero
73.7298362033,172.84091491,174.921090003,175.097595751,170.221592004,138.35037,zero
72.4326330158,173.837152642,174.904451662,175.120258319,170.152743698,138.49986,zero
74.6532163074,174.337108828,175.352703317,175.665826509,170.738227513,138.99365,zero
74.2587933734,173.955410537,175.184106927,175.467149966,170.404818659,139.63363,zero
73.6252386864,174.040063901,175.351897354,175.559521445,170.281574726,139.86625,zero
71.8257980288,173.53452062,174.75850418,174.73035014,169.078955998,140.91358,zero
63.6445701202,167.625341478,171.718004489,170.800914989,173.820992414,124.52257,zero
63.4963755058,168.516476259,171.691844865,170.715319059,173.977280803,123.77594,zero
62.3407279888,168.007108072,170.523226819,169.52458486,173.088768814,122.94138,zero
62.0604306856,167.790836962,169.976128666,168.862083831,172.566546211,123.02005,zero
