thumb,index,middle,ring,pinky,palm_normal_angle,class
3175.03178,7030.21599,6854.29212,6539.59341,5998.41678,167.00822,zero
3172.51081,7024.30067,6830.88036,6524.6608,6007.9488,167.40074,zero
3110.7779,7006.76116,6804.84598,6498.43474,5941.73259,168.49944,zero
3139.07579,7003.69969,6806.31077,6494.78857,5936.93149,168.49323,zero
3161.42499,7028.28816,6835.57503,6523.6657,5983.04637,167.91225,zero
3130.06111,7020.96224,6842.24295,6535.67501,5996.84785,168.49134,zero
3135.57563,7022.77247,6848.99518,6534.94016,5976.28456,168.70952,zero
3112.12278,7020.49011,6859.68893,6544.18548,5973.33152,168.75022,zero
3109.57161,7014.84982,6851.99078,6537.72905,5969.71118,168.80636,zero
3127.90878,7030.86646,6883.8903,6565.88704,5983.64686,168.89025,zero
3371.14318,6837.71855,6399.87564,6071.81617,5483.86463,172.43247,zero
3366.2095,6788.52163,6357.44393,6121.75225,5612.25061,172.92831,zero
3358.6792,6797.07861,6347.19582,6084.71102,5530.91153,171.60263,zero
3364.2201,6824.01106,6319.31831,6045.30928,5447.20767,170.09424,zero
3403.08079,6796.7039,6307.65057,6112.6433,5558.45812,172.36756,zero
3385.99174,6811.55051,6360.9549,6227.86433,5765.00773,173.26577,zero
3431.73105,6865.62562,6383.47794,6060.83191,5415.2779,171.72783,zero
3396.32469,6852.51721,6379.93294,6188.6058,5654.66745,172.29637,zero
3434.89792,6877.59289,6373.61368,6133.75648,5461.35101,173.42625,zero
3413.73453,6867.75414,6382.66089,6193.87683,5553.29348,171.98179,zero
3294.21306,6947.03158,6904.31161,6367.73177,5761.77212,170.16501,zero
3237.55264,6961.80777,6939.25376,6377.04151,5719.89397,170.84161,zero
3235.52156,6966.69343,6949.86114,6384.41619,5727.41511,170.7435,zero
3261.95905,6948.07565,6925.95655,6383.5536,5763.52575,169.98773,zero
3253.31361,6926.87238,6921.20414,6384.67326,5779.85189,169.95875,zero
3196.98225,6934.53675,6945.75818,6384.2893,5758.76328,170.50663,zero
3202.89288,6934.66169,6945.74887,6385.72857,5768.52241,170.60143,zero
3307.46881,6883.53306,6874.90567,6323.98581,5702.37242,172.90203,zero
3296.07684,6837.24249,6871.70822,6318.18614,5706.77163,173.22526,zero
3273.52058,6926.54569,6902.85987,6367.39465,5784.39828,171.73732,zero
3521.1806,6881.17614,6763.08342,6384.03059,5928.00679,170.69038,zero
3631.09894,6870.46919,6709.11431,6343.24779,5882.57264,170.42999,zero
3569.31585,6852.91396,6696.07559,6334.96302,5861.29562,170.48961,zero
3578.96835,6864.11615,6704.16856,6332.38986,5859.23771,170.53732,zero
3575.38103,6861.88889,6701.22357,6334.43058,5868.15961,170.2657,zero
3558.64177,6864.75906,6711.64822,6344.77818,5878.8922,170.24309,zero
3560.78869,6866.02907,6714.43702,6345.70837,5888.71816,170.24068,zero
