thumb,index,middle,ring,pinky,palm_normal_angle,class
73.0054468305,155.41325011,165.669421187,171.936666165,168.989343916,172.51203,zero
73.3418677981,156.339642328,166.243088775,171.804898156,168.284304469,171.2468,zero
74.3459807382,154.548302275,165.129426431,170.543990594,166.759164209,170.37359,zero
72.9983434338,156.51409902,166.707869488,171.901558993,167.938382708,170.2782,zero
73.4731372038,158.205103594,167.312764701,172.01013168,167.867430703,170.1421,zero
73.3909290469,157.347983155,167.285047793,172.017535605,167.838334097,170.24921,zero
73.1547001243,157.831806435,167.377241687,171.782071664,167.233466205,169.87206,zero
72.9513175814,158.611335925,168.071434793,172.197593052,167.588116947,170.00826,zero
73.0045110946,158.610693887,168.0853957,172.445037145,168.069208152,170.27894,zero
72.1503344672,157.350510325,167.148362048,172.147964898,168.140788534,170.83897,zero
57.0914919701,161.087279499,171.448198357,172.688656333,168.588097623,165.9894,zero
56.7600536255,160.692166716,171.385756767,172.759253168,168.465919199,165.75764,zero
57.5739662878,160.351190012,170.82477967,172.277752152,167.750047072,165.52388,zero
56.6838662804,160.490771758,170.908736356,172.341450496,167.943450709,165.65655,zero
56.9760105467,160.340029483,170.894351977,172.291357889,167.958982559,165.76574,zero
58.7272505593,160.166583659,170.753049024,172.174384069,168.10309955,165.94719,zero
58.9391503481,159.863145675,170.360750279,171.893444728,167.910556518,166.36814,zero
52.3473723462,160.295264423,170.820107821,172.217892374,168.254333599,166.61522,zero
51.7217031126,160.24569091,170.999700815,172.442455334,168.466943727,166.46116,zero
53.9151227419,160.345630238,170.954881114,172.318856231,168.381784929,166.40102,zero
72.7242547726,155.439778565,169.022661579,172.908779669,170.229870194,172.74666,zero
73.8101045865,157.239164581,169.170999627,172.825506003,169.990499384,172.36478,zero
71.8965587886,156.532800077,168.92486693,172.964186164,170.245046874,172.40508,zero
73.3085842863,156.306638854,169.526715879,173.690959273,170.763840723,172.47267,zero
73.2303854505,154.967593927,168.93930595,173.199718407,170.646101922,172.98231,zero
73.0275766435,155.69015964,169.005995917,173.181140293,170.391376847,172.66993,zero
72.5048144549,155.538037666,168.803590091,173.180771462,170.317160011,172.84546,zero
72.1537359014,155.750634134,168.653845024,172.961740956,170.339685975,173.06122,zero
72.2881745149,153.785151578,168.739386313,173.51396175,171.235137436,173.78296,zero
72.1460109575,154.416465963,169.220832687,173.825076867,171.744505623,173.64072,zero
63.8804711938,167.877525723,173.852288341,172.852075439,169.837790015,171.91788,zero
63.7845480171,167.982642334,173.666397912,172.502000923,169.384770888,171.88784,zero
63.6306023834,167.79981183,173.449757972,172.154521879,169.024464749,171.92883,zero
62.2757660596,166.103356765,172.695855352,172.038586248,169.328858959,172.44565,zero
61.7422258326,165.707943454,172.749158148,172.225569507,169.449985534,172.39841,zero
63.0665585315,167.869165571,173.747021465,172.640325914,169.331604695,172.33009,zero
62.2401329627,167.226854582,173.40200129,172.605273383,169.591247506,171.90832,zero
61.5286663078,166.720778545,173.397520685,172.720047882,169.629838075,172.25014,zero
61.2865907432,166.784627154,173.549642659,172.929174614,169.799622918,172.24667,zero
61.5081484195,167.216390732,173.875989097,173.222244371,170.288131707,171.88627,zero
86.3076227297,159.771293291,165.103963486,166.428145921,161.960928996,167.71101,zero
85.1007351336,159.725285137,164.677486474,165.968897661,161.912284389,167.97431,zero
85.7724159366,161.290422985,166.081267933,166.91158671,162.195887503,168.25677,zero
86.1193485653,160.79593095,166.010766721,167.041988682,162.292589322,169.12358,zero
85.842876168,161.038293382,166.062334649,166.974629356,162.301236341,169.29805,zero
85.7368443114,162.101794817,166.830266478,167.520470754,162.772655998,169.64006,zero
85.5999946412,162.154633161,166.94590158,167.595643816,162.907620536,169.90925,zero
85.8812345104,162.006609301,166.780378776,167.435749087,162.750662788,170.10511,zero
85.2998078271,161.53034021,166.601277556,167.403319349,162.879534798,170.30683,zero
86.2450308762,161.632219312,166.418856863,167.295620926,162.936525896,170.49886,zero
67.4297380148,147.384745231,163.649379079,167.501496488,167.200175863,161.9329,zero
67.4371624304,147.359951645,163.539877487,167.378334517,167.061632306,161.8677,zero
67.464660772,147.688101253,163.938746874,167.716647447,167.205981524,161.96001,zero
67.4230171087,147.695450537,163.737597803,167.52900849,167.188960692,162.02914,zero
68.5528533408,142.693689347,157.803010357,165.044718425,164.816535465,161.61303,zero
68.7936243392,148.229434726,163.287365393,166.648883974,167.319635871,163.69938,zero
68.999636505,148.757025858,161.50468602,165.200187191,166.19235413,163.29952,zero
68.830623474,148.055661053,161.133465238,164.514244953,165.284581008,163.35146,zero
68.7730927906,147.754599975,160.843523708,163.917108834,164.891066489,163.23975,zero
68.9046900453,148.045183543,161.644377049,165.137267488,165.540248649,163.14739,zero
78.1431902563,164.878840451,169.351302961,170.124821884,166.103466048,168.28232,zero
79.1931747468,164.284094899,168.470836935,169.324801827,165.362800335,168.0316,zero
79.3610881174,163.980930122,168.207888313,168.89851606,164.901639622,168.27432,zero
80.2210977264,164.404798002,169.02053056,169.464492856,165.178426208,169.47462,zero
78.9638579757,165.560042537,170.271438725,170.756600722,166.59603197,169.74625,zero
78.6332153481,165.685868282,170.521423649,170.943816207,166.890850256,169.41089,zero
78.1433541808,165.632101033,170.924855602,171.56675678,167.796956811,170.09724,zero
80.4766492542,165.265934592,170.174190492,170.604601692,166.365226218,169.50445,zero
80.901179662,165.159957377,170.078349277,170.470689003,166.107304615,169.35626,zero
80.4229776277,165.076697371,169.973943006,170.325861672,165.979088303,169.4449,zero
84.1506353295,157.27849281,163.359273625,163.791925127,163.23743671,173.77785,zero
84.3370790032,157.766496166,163.612291152,163.974427782,163.278376864,173.88151,zero
85.1776977052,158.606308906,164.406642153,164.611438545,163.64324557,173.14766,zero
86.2027998165,158.591118565,164.530623746,164.625016961,163.511327296,172.4913,zero
86.8305761635,158.988348707,164.495147744,164.31629241,163.114739192,171.87716,zero
86.7155352873,158.9195004,164.460436723,164.311442976,163.182877159,172.03534,zero
86.4275471912,158.779932314,164.274846822,164.177024853,163.121268853,172.54805,zero
85.171987667,158.48298301,163.916371174,164.052387561,163.104370965,173.25011,zero
85.7288256693,158.787267938,164.407584719,164.548477861,163.512816277,173.59942,zero
86.4377719844,158.685060987,164.351262979,164.37261415,163.295766526,173.11072,zero
46.3027198175,156.915563879,168.774370542,169.249300916,163.908352532,161.15796,zero
64.1102046065,155.816094668,168.071953888,168.777963221,163.71690233,160.99029,zero
60.4983527621,155.705186056,167.875285421,168.754617635,164.002090048,161.19692,zero
64.3616921717,156.294549419,168.665142157,169.381109906,164.61632896,161.3756,zero
64.2710623916,156.222846093,168.533059959,169.302385146,164.542849785,161.60453,zero
62.8386419491,155.989567812,168.329137831,169.190083176,164.353858451,161.50172,zero
63.2135100515,156.117579217,168.628764569,169.372531189,164.582164354,161.57446,zero
63.5044556196,155.695569149,168.515656637,169.286375183,164.549789257,161.45036,zero
63.0189043017,155.89200539,168.414925007,169.186586119,164.073902657,161.54729,zero
66.4497014916,156.635348538,168.547963431,169.1418757,164.057646807,161.50837,zero
43.1391367034,161.108849236,168.669773025,169.271813219,163.837537131,100.01814,zero
42.9347023114,160.936851413,168.651058307,169.322097072,163.859257132,99.88954,zero
42.1873156916,161.023963645,168.499031956,169.226884235,163.917013212,99.91579,zero
38.4163340999,160.978788774,169.713016119,169.935010927,165.503270005,103.70364,zero
31.5176244722,161.429717863,169.281088616,169.816151975,165.388522827,103.12821,zero
35.7672930417,162.642855083,168.343344624,169.326263487,164.172475947,100.64424,zero
37.282099226,160.204573172,168.503266673,168.67030578,164.367873999,104.72506,zero
33.3005941286,160.687371923,168.537882072,168.826320961,164.347123884,104.89753,zero
28.49664034,160.843291482,168.790872279,169.129690643,164.572793334,104.38579,zero
30.4909855682,161.118233916,168.873544889,169.342328092,164.829376221,104.2847,zero
66.2641252518,152.332862115,157.34096172,157.271416734,148.31768077,166.24623,zero
66.4693177949,152.4919099,157.453277351,157.360523382,148.879532131,166.59229,zero
67.6085728579,153.845065998,159.262553481,159.470642024,150.708943659,165.93296,zero
66.4322298677,154.055777333,159.979163269,160.422196659,150.899055144,165.93098,zero
65.7264186094,152.931459894,157.911951875,158.115395889,150.024968516,167.12929,zero
66.6804799232,152.418389744,157.436557048,157.391737347,149.050204898,167.81405,zero
67.6286262933,153.566366959,159.036460559,159.350321412,150.665052863,167.76615,zero
67.08113882,153.882850604,159.822437748,160.866541445,151.657656935,167.96323,zero
67.03203659,154.544381746,160.406159375,161.393422238,152.488549447,167.8434,zero
67.6389603695,154.520872235,160.75332423,161.70724211,153.624355265,167.87249,zero
72.4972944167,166.449333167,173.925808497,174.047085336,170.417263264,168.18704,zero
68.1894394656,167.098870497,175.020865406,175.072597259,171.674509845,169.55247,zero
71.1412491494,166.042800308,174.169113496,174.652103493,171.638268861,169.38513,zero
67.2880867216,166.365021312,174.157584136,174.54295707,171.375115333,169.65993,zero
67.2912081181,166.154405599,174.028343297,174.527179333,171.46815617,170.06461,zero
67.5467528157,165.998212833,174.597024847,175.367224299,173.010399224,171.02469,zero
68.2247856946,166.346607122,174.979638384,175.576801823,172.72756109,171.05578,zero
66.9466114141,166.167546883,173.757690221,174.380822039,171.024494402,170.67805,zero
66.9088746189,166.458362677,175.060644428,175.860568862,173.299958263,172.27081,zero
66.7669023068,166.346812028,174.448509214,175.332294711,172.665379048,172.48613,zero
74.5754204528,166.387834144,176.63710673,178.182751218,174.568338053,172.85903,zero
73.254632622,166.284616325,176.506486192,178.136073705,174.822557694,173.19338,zero
73.4614644105,166.186780696,176.537276685,178.168161934,174.950842307,173.23116,zero
73.2944048136,166.306787119,176.576003857,178.066801927,174.558461599,173.549,zero
74.494154862,166.438828336,176.428499092,177.915595199,174.169782854,173.27751,zero
75.9506995327,165.816994254,176.882474445,178.46048037,174.661857003,173.05236,zero
76.0718261075,165.982011624,176.715735867,178.182204803,174.324076828,173.12262,zero
75.4565421765,166.298372326,176.509231928,178.070845399,174.183853044,173.23297,zero
75.1604603061,166.274644249,176.476911473,177.963078674,174.088653867,173.35315,zero
74.6907072158,166.780023606,176.384485353,177.823278362,173.842890001,173.3278,zero
77.0347803276,166.989191319,173.483676692,170.849873785,162.539049868,165.26481,zero
76.59003939,166.931271315,173.291707395,170.601295881,162.015310962,164.86474,zero
76.6707927165,166.924085956,172.780959509,169.916309869,161.452189186,163.82736,zero
76.6798563776,167.728586618,173.331909888,170.484581608,162.628238478,163.12072,zero
75.7897256344,167.189807636,172.916566085,170.337063183,162.933971405,163.93522,zero
76.4401508887,167.403756481,172.657647274,169.726334988,161.419704806,162.00157,zero
76.3888698284,166.949781128,172.881417931,170.112882714,162.080457306,160.94557,zero
76.4024072633,167.0635994,172.778377698,169.961047608,162.028097076,163.77829,zero
75.2568820867,166.340883424,172.285333662,169.669658078,162.446159295,163.52458,zero
75.5169961808,166.311609233,172.402088916,169.669849323,162.25319279,163.15931,zero
49.1246568694,165.216647947,172.999484581,174.069351753,173.09837206,144.09877,zero
48.0352416967,163.753676068,173.159543234,174.512303181,173.855703435,143.55253,zero
47.4690087693,165.160380848,172.880379743,174.093189113,173.520887562,145.03328,zero
48.9378102144,165.194094662,172.285866417,173.469729445,172.937780652,145.49737,zero
49.3400946962,164.450751514,173.085531305,174.408716532,173.825049546,145.40135,zero
49.2381028964,163.872302794,173.310271849,174.707455346,174.115168662,144.36939,zero
48.8423719812,163.756490106,172.9474522,174.380644454,173.880988796,144.02696,zero
48.5377182234,165.978173058,173.232653579,174.424726495,173.695371575,143.92236,zero
48.8979389851,168.185990726,174.314664827,175.364178034,174.492454651,144.83725,zero
49.1634113627,168.010372902,174.275842032,175.39074747,174.549964844,145.32241,zero
42.9099087247,148.560890146,160.992858964,164.577888656,160.336641709,152.08144,zero
40.3234082936,149.071788296,161.372781406,164.71417825,160.692385282,151.6255,zero
40.6474529584,152.996975069,161.661875993,165.526943441,161.20464947,151.64915,zero
37.9480016889,155.842677764,163.976490499,167.595274986,163.353754832,152.12551,zero
39.3368933359,155.693875262,164.099324621,167.482686147,163.258173165,152.02014,zero
40.8723540123,155.33776286,163.338291283,166.502089549,162.046019492,151.59158,zero
36.8880485373,156.303182778,163.436782611,166.142999183,161.14797256,152.10234,zero
36.7888980962,157.309078397,164.221803573,167.002592151,162.224560637,152.37121,zero
35.4763987,156.426495013,163.480017709,166.451354903,161.182150827,152.44922,zero
36.8306442124,157.044832039,163.963185291,166.953537732,162.065307947,152.39519,zero
57.86795129,171.388557145,176.033003818,175.430225964,169.282741522,155.68194,zero
58.3674703448,170.674515509,176.065474538,175.620419411,170.071669352,155.14189,zero
59.4944378975,170.469295645,175.72867791,175.026657406,169.437855118,155.3952,zero
58.3713225715,170.027095538,175.608985675,174.920434304,169.574090071,154.74628,zero
57.6931667492,170.826992652,176.050325178,175.502284459,169.852174393,154.65103,zero
56.290546422,170.597839805,176.016952874,175.407645358,168.814094922,155.88881,zero
58.5749578314,171.390975032,176.134718995,175.710017833,169.388240624,156.53664,zero
59.1281826636,171.033537572,176.717115566,176.101619899,169.453182062,157.01314,zero
59.379929776,170.467574437,176.44685864,175.682205302,167.977915843,158.54917,zero
59.3785227571,170.341543787,176.305623989,175.419393284,167.572762682,159.27985,zero
71.3003584061,166.33929882,172.250704603,171.976882319,166.724084357,174.70399,zero
71.671811414,166.465807584,172.324019854,172.085318403,166.907802785,174.53435,zero
72.6479274086,166.302279195,172.204874034,171.975762168,166.692720128,174.21142,zero
72.7526546992,166.391030673,172.36397646,172.15166686,166.962048148,173.97429,zero
73.751884054,166.504234228,172.086438554,172.029146927,166.660372352,174.16034,zero
73.7960890383,166.529314683,172.063721344,172.059199759,166.530503135,174.15749,zero
73.3324079861,166.555747515,172.210433808,172.010719076,166.732608433,174.51002,zero
73.5286598115,166.255383116,171.590430216,171.89494737,166.417982599,175.78378,zero
74.0293809796,165.96958068,171.433581752,171.992468811,166.353191425,175.6409,zero
73.3172586265,166.089354877,171.539586288,171.713715131,166.560678911,174.86634,zero
70.0040158224,169.232170801,172.124113877,172.978761787,165.198971417,161.8994,zero
69.9661082725,169.246404916,172.485239639,173.449279859,166.200741602,162.72039,zero
70.0379960136,169.415725305,172.270129661,173.242448071,165.844000822,161.73665,zero
70.2728384078,169.475776328,172.116409424,173.062650171,165.672235225,161.47693,zero
70.2437896132,169.585154978,172.533365152,173.534001525,165.909324751,161.78558,zero
69.9549135925,169.568789844,172.459899637,173.386920232,166.039084685,161.20387,zero
70.0188100122,169.448947345,172.514336245,173.348193059,165.978705813,160.67898,zero
69.7534708233,169.342833526,172.582624476,173.492569598,166.218144924,160.19864,zero
69.3241387924,169.410780248,172.552598964,173.568371037,166.394063277,160.25169,zero
69.2373680692,169.37690251,172.635148631,173.637943344,166.470137924,161.09012,zero
62.7333682434,156.111623293,162.324513626,165.019105216,160.963270585,153.66551,zero
66.2937682728,156.748975565,162.435463219,164.091046432,161.806839928,146.37232,zero
64.5475552794,156.76288183,161.900249595,163.382646532,160.772544382,145.06208,zero
61.4845637763,154.618147789,159.352370469,160.47784904,157.0802534,144.41859,zero
62.3253942141,155.909477014,161.413830843,162.894356308,159.456599155,144.26659,zero
62.0378978916,155.990974831,160.833510651,161.971638732,158.621417284,145.05378,zero
62.0591124591,158.369724813,162.681363689,163.262489844,159.324557938,144.68886,zero
