thumb,index,middle,ring,pinky,palm_normal_angle,class
63.88417,42.58592,36.97967,33.56605,35.39127,172.51203,zero
63.72966,42.2467,36.70625,33.34132,34.93473,171.2468,zero
63.60723,42.94042,37.2378,33.68994,35.11493,170.37359,zero
64.08073,42.23656,36.47268,33.22018,34.90345,170.2782,zero
63.94369,41.57135,36.24552,33.19902,34.78411,170.1421,zero
64.21541,41.91796,36.2397,33.19487,34.84574,170.24921,zero
64.54933,41.81062,36.21167,33.17453,34.8307,169.87206,zero
64.32113,41.4755,35.87246,33.0617,34.71989,170.00826,zero
64.5645,41.48598,35.88537,33.04435,34.73883,170.27894,zero
65.18135,42.04544,36.3826,33.23689,34.92038,170.83897,zero
71.29032,42.06604,35.31622,34.0872,36.75652,165.9894,zero
71.2047,42.19645,35.31865,33.88287,36.5431,165.75764,zero
70.45684,42.35197,35.60949,33.94505,36.49744,165.52388,zero
70.73174,42.34391,35.60748,34.01149,36.5227,165.65655,zero
70.35075,42.35935,35.5771,33.98879,36.48524,165.76574,zero
69.36246,42.41846,35.65318,34.02279,36.446,165.94719,zero
69.40831,42.60199,35.86893,34.19792,36.56671,166.36814,zero
71.91203,42.54465,35.68112,34.3078,36.77425,166.61522,zero
72.17408,42.5738,35.58616,34.18924,36.68609,166.46116,zero
71.18482,42.5204,35.63157,34.27163,36.74406,166.40102,zero
65.40402,42.96255,35.52332,33.39866,35.27538,172.74666,zero
65.03914,42.20471,35.35094,33.34222,35.40814,172.36478,zero
65.41164,42.59416,35.61945,33.46895,35.36563,172.40508,zero
65.29269,42.51743,35.16521,33.10659,35.24466,172.47267,zero
65.43903,43.05481,35.57378,33.34927,35.32395,172.98231,zero
64.97692,42.74985,35.51798,33.3088,35.26661,172.66993,zero
65.18678,42.81734,35.59784,33.30121,35.27269,172.84546,zero
65.14618,42.7906,35.72998,33.50255,35.33884,173.06122,zero
65.34447,43.38179,35.57413,33.36755,35.5201,173.78296,zero
65.16692,43.19735,35.4374,33.36557,35.4584,173.64072,zero
62.16513,39.71163,33.83175,33.08048,33.62398,171.91788,zero
62.40974,39.72976,34.00429,33.27345,33.75578,171.88784,zero
62.48184,39.95464,34.19048,33.43679,33.77884,171.92883,zero
63.47533,40.41143,34.29784,33.37886,33.87825,172.44565,zero
63.79551,40.42925,34.20609,33.3239,33.89178,172.39841,zero
62.88126,39.69578,33.88664,33.33838,33.68964,172.33009,zero
63.14954,39.82869,34.04136,33.35369,33.70337,171.90832,zero
63.39997,40.01503,34.03688,33.3244,33.73775,172.25014,zero
63.52146,40.00926,33.97724,33.27262,33.73439,172.24667,zero
63.03919,39.83975,33.9,33.26942,33.61197,171.88627,zero
54.38952,43.12864,39.49289,35.78482,34.97398,167.71101,zero
54.67915,43.03461,39.76048,35.93926,34.98196,167.97431,zero
54.2453,42.71231,39.42018,35.64346,34.29478,168.25677,zero
53.87289,42.9486,39.53025,35.75368,34.37376,169.12358,zero
53.84946,42.76163,39.54359,35.93658,34.52821,169.29805,zero
53.77039,42.42709,39.30502,35.8652,34.37213,169.64006,zero
53.85637,42.4131,39.25525,35.89925,34.35629,169.90925,zero
53.564,42.47167,39.27096,35.92926,34.47526,170.10511,zero
53.85363,42.65666,39.37206,35.9288,34.49283,170.30683,zero
53.68325,42.53563,39.33237,35.87205,34.58177,170.49886,zero
64.85855,46.78832,38.67931,35.65202,36.09607,161.9329,zero
64.78994,46.82489,38.72078,35.67479,36.07123,161.8677,zero
64.82027,46.68845,38.53762,35.53233,35.9847,161.96001,zero
64.76127,46.68193,38.61438,35.59496,35.99746,162.02914,zero
64.51743,48.04969,41.05955,37.31296,37.62458,161.61303,zero
64.67317,46.19606,38.65786,35.81503,36.3737,163.69938,zero
64.54767,46.02448,39.55227,36.42126,36.65413,163.29952,zero
64.60706,46.42349,39.72033,36.56515,36.64689,163.35146,zero
64.54993,46.61499,39.88919,36.77121,36.71095,163.23975,zero
64.43778,46.50375,39.56594,36.46036,36.57665,163.14739,zero
62.37359,40.51923,37.78625,36.32793,37.28124,168.28232,zero
62.13915,40.78309,38.32356,36.59792,37.41054,168.0316,zero
62.3624,40.8255,38.39682,36.6657,37.48668,168.27432,zero
61.95374,40.44219,37.77769,36.30742,37.30611,169.47462,zero
62.34372,40.05223,37.1396,35.8986,37.05658,169.74625,zero
62.36418,40.04339,37.0441,35.87376,36.98943,169.41089,zero
63.04874,40.03938,36.80404,35.58509,36.88563,170.09724,zero
62.10756,40.06267,37.02599,35.77586,37.01338,169.50445,zero
62.17786,40.08577,37.0646,35.73613,36.98164,169.35626,zero
62.36728,40.1119,37.07478,35.75245,37.0223,169.4449,zero
55.09573,44.66453,41.55755,39.49498,38.86893,173.77785,zero
55.2659,44.42954,41.34209,39.3046,38.76598,173.88151,zero
55.21804,44.00846,40.84455,38.90726,38.53416,173.14766,zero
54.81052,43.96091,40.70104,38.75779,38.37607,172.4913,zero
54.80539,43.77096,40.77788,38.88868,38.41246,171.87716,zero
54.84472,43.77842,40.77906,38.87215,38.38342,172.03534,zero
55.00748,43.83426,40.88506,38.95662,38.45081,172.54805,zero
55.44586,44.03032,41.09119,39.08768,38.60928,173.25011,zero
55.32203,43.80914,40.70734,38.77174,38.46268,173.59942,zero
55.04359,43.82981,40.72186,38.79077,38.40612,173.11072,zero
76.82796,45.37835,37.29186,34.93193,36.7733,161.15796,zero
69.60905,45.66611,37.5577,35.0345,36.7215,160.99029,zero
69.2186,45.81444,37.73872,35.13172,36.49791,161.19692,zero
68.42404,45.58715,37.44294,35.00465,36.42186,161.3756,zero
67.99759,45.47519,37.4386,35.01421,36.55659,161.60453,zero
68.69997,45.5988,37.5401,35.06429,36.61142,161.50172,zero
69.48734,45.61282,37.41303,35.00168,36.60137,161.57446,zero
68.14689,45.80226,37.47067,34.95316,36.47901,161.45036,zero
70.27647,45.37476,37.26074,34.82486,36.81293,161.54729,zero
69.2179,45.15688,37.27787,34.85168,36.70221,161.50837,zero
77.06961,44.72438,40.30428,38.40187,37.11014,100.01814,zero
76.94994,44.69859,40.3496,38.4561,37.17255,99.88954,zero
77.14429,44.71973,40.44031,38.55053,37.25072,99.91579,zero
79.61296,45.42468,38.99787,37.50042,36.83059,103.70364,zero
81.94013,45.30931,39.36767,37.83183,36.97966,103.12821,zero
78.53104,44.00104,40.70774,38.77502,37.33993,100.64424,zero
78.70243,45.484,39.4798,37.96709,37.21838,104.72506,zero
80.27144,45.37767,39.6652,38.05819,37.12325,104.89753,zero
82.42559,45.40791,39.49223,37.94131,37.0551,104.38579,zero
82.31304,45.30527,39.46931,37.94973,37.07819,104.2847,zero
62.25705,45.39838,43.25094,40.7397,42.3348,166.24623,zero
62.18645,45.32443,43.21862,40.76597,42.16419,166.59229,zero
62.22266,44.76353,42.25995,39.81409,41.57344,165.93296,zero
62.54348,44.69694,41.85923,39.37854,41.54681,165.93098,zero
62.30215,45.21179,42.9639,40.40319,41.79311,167.12929,zero
61.82277,45.20341,43.03706,40.60974,42.04,167.81405,zero
61.27519,44.64366,42.10516,39.65894,41.45601,167.76615,zero
61.37446,44.56694,41.62415,38.96206,41.17296,167.96323,zero
61.64384,44.34654,41.33224,38.77775,41.04179,167.8434,zero
61.85558,44.36156,41.17768,38.67712,40.70493,167.87249,zero
65.20965,39.96163,34.75645,34.2748,36.23853,168.18704,zero
67.38113,39.79644,34.51657,34.25304,36.36007,169.55247,zero
65.76242,40.17017,34.87761,34.28355,36.33028,169.38513,zero
67.37444,40.19323,35.19938,34.81169,36.98611,169.65993,zero
67.13549,40.35854,35.19211,34.80405,36.87669,170.06461,zero
67.25098,40.40055,34.91177,34.49976,36.57378,171.02469,zero
66.65887,40.06985,34.77936,34.37915,36.6412,171.05578,zero
67.24737,40.42414,35.43139,34.91432,37.05699,170.67805,zero
67.25436,40.26011,34.81796,34.55972,36.77314,172.27081,zero
67.05923,40.37836,35.08981,34.69823,36.81743,172.48613,zero
67.1204,39.03172,33.74362,33.71083,36.69909,172.85903,zero
67.63404,39.1729,33.89604,33.87226,36.90005,173.19338,zero
67.47688,39.21038,33.86622,33.89153,36.89125,173.23116,zero
67.65193,39.10139,33.84016,33.85843,36.97804,173.549,zero
67.19286,38.99129,33.78948,33.74133,36.83786,173.27751,zero
66.14144,39.10054,33.72102,33.6591,36.57356,173.05236,zero
66.23283,39.04585,33.81372,33.6972,36.61895,173.12262,zero
66.69846,38.9509,33.80204,33.68993,36.74931,173.23297,zero
66.78357,38.99033,33.85481,33.7239,36.75116,173.35315,zero
67.18132,38.83337,33.81662,33.7321,36.84174,173.3278,zero
60.54394,40.67873,37.23768,37.36023,39.474,165.26481,zero
61.08001,40.70515,37.50456,37.51645,39.62342,164.86474,zero
61.32094,40.8475,38.08365,37.99311,39.7685,163.82736,zero
61.29987,40.45642,37.83788,37.78743,39.40396,163.12072,zero
61.63453,40.71672,37.87568,37.78755,39.35621,163.93522,zero
61.47824,40.80064,38.11607,38.01559,39.72189,162.00157,zero
61.61736,41.02337,38.1241,38.02261,39.71903,160.94557,zero
