thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
26.46673,13.92252,17.4571,15.92582,172.51203,zero
26.53077,13.82322,17.10845,15.83015,171.2468,zero
24.7723,13.82582,17.16153,15.83829,170.37359,zero
26.56432,13.83972,17.07482,15.79505,170.2782,zero
27.45486,13.70161,16.88877,15.71277,170.1421,zero
26.94725,13.86734,16.94611,15.73851,170.24921,zero
27.15872,13.78615,16.86481,15.73895,169.87206,zero
27.74315,13.80891,16.72253,15.68895,170.00826,zero
27.943,13.83084,16.85043,15.66637,170.27894,zero
27.72073,13.88108,17.07438,15.71168,170.83897,zero
48.41239,15.24694,16.10684,16.28048,165.9894,zero
48.52959,15.26059,16.05425,16.21679,165.75764,zero
47.38943,15.04668,16.08041,16.15541,165.52388,zero
47.87253,15.06521,16.06219,16.17101,165.65655,zero
47.73195,15.00413,16.03729,16.15425,165.76574,zero
46.40559,14.9413,16.04542,16.16712,165.94719,zero
46.32686,14.89832,16.10678,16.20554,166.36814,zero
49.70445,15.16203,16.12101,16.28377,166.61522,zero
50.14965,15.2121,16.10539,16.27413,166.46116,zero
48.964,15.13842,16.08401,16.24416,166.40102,zero
28.03317,14.99861,16.57005,15.84801,172.74666,zero
28.50251,14.48591,16.59506,15.88402,172.36478,zero
28.82624,14.61038,16.6461,15.86316,172.40508,zero
28.35937,14.8612,16.68668,15.8618,172.47267,zero
27.78187,14.97334,16.69847,15.9442,172.98231,zero
27.85493,14.66659,16.67307,15.87211,172.66993,zero
28.01977,14.68431,16.73381,15.86583,172.84546,zero
28.31111,14.62397,16.68516,15.84974,173.06122,zero
27.27833,15.28531,16.89365,15.9321,173.78296,zero
27.79564,15.32212,16.82228,15.97923,173.64072,zero
34.67593,13.12724,15.21614,15.26828,171.91788,zero
34.69809,13.07772,15.12489,15.28645,171.88784,zero
34.79476,13.08011,15.07846,15.19141,171.92883,zero
33.31108,13.18902,15.58842,15.49257,172.44565,zero
33.04781,13.30149,15.6763,15.57189,172.39841,zero
34.40334,13.24045,15.22482,15.29437,172.33009,zero
34.0118,13.23522,15.32936,15.34497,171.90832,zero
33.56532,13.41718,15.45585,15.35704,172.25014,zero
33.65121,13.48045,15.51035,15.37656,172.24667,zero
33.90492,13.3466,15.34651,15.23615,171.88627,zero
23.71297,10.94294,15.02493,15.33063,167.71101,zero
23.88125,10.66518,14.91112,15.41987,167.97431,zero
25.18397,10.66421,14.44906,15.25011,168.25677,zero
24.92281,10.89775,14.55049,15.15714,169.12358,zero
25.17188,10.78337,14.5603,15.07845,169.29805,zero
25.87198,10.66111,14.35588,14.98385,169.64006,zero
25.88744,10.77848,14.33848,14.91343,169.90925,zero
25.68817,10.77036,14.39915,14.93324,170.10511,zero
25.50816,10.86761,14.4836,14.94049,170.30683,zero
25.09252,10.91987,14.525,14.98145,170.49886,zero
23.69863,15.18741,16.47944,16.71996,161.9329,zero
23.73071,15.15157,16.47893,16.71289,161.8677,zero
23.92206,15.20752,16.45934,16.66689,161.96001,zero
24.03196,15.06684,16.46646,16.69178,162.02914,zero
20.98012,13.96922,18.03858,16.16174,161.61303,zero
23.95827,14.46814,16.37782,17.08916,163.69938,zero
24.47058,13.59155,16.44616,17.1663,163.29952,zero
23.89031,13.60897,16.32769,17.22812,163.35146,zero
23.64179,13.59473,16.22149,17.35361,163.23975,zero
23.79387,13.85525,16.38613,17.08787,163.14739,zero
31.35344,13.88129,15.61369,16.00402,168.28232,zero
30.65339,13.86195,15.56023,15.9783,168.0316,zero
30.09729,13.76781,15.55615,16.02935,168.27432,zero
29.8075,13.80077,15.50932,16.06591,169.47462,zero
31.39259,14.06469,15.48897,16.14604,169.74625,zero
31.5698,14.21991,15.46524,16.18037,169.41089,zero
31.94311,14.44829,15.52908,16.26172,170.09724,zero
30.43691,14.18076,15.5326,16.17936,169.50445,zero
30.07964,14.16244,15.52901,16.16268,169.35626,zero
30.09516,14.16788,15.54576,16.18362,169.4449,zero
29.08282,14.01806,15.46859,16.80358,173.77785,zero
28.86075,13.81997,15.45081,16.77894,173.88151,zero
28.84603,13.77825,15.43503,16.78346,173.14766,zero
28.4517,13.60807,15.35962,16.74277,172.4913,zero
28.48375,13.47944,15.30058,16.73776,171.87716,zero
28.68092,13.51745,15.28375,16.75958,172.03534,zero
28.50884,13.53433,15.3068,16.7718,172.54805,zero
28.47204,13.59133,15.36071,16.77798,173.25011,zero
28.40896,13.6733,15.35892,16.78299,173.59942,zero
28.38148,13.60721,15.30859,16.77329,173.11072,zero
48.55106,15.23691,15.84303,17.70825,161.15796,zero
40.41687,15.06367,15.80207,17.61739,160.99029,zero
39.82587,15.02406,15.77457,17.55126,161.19692,zero
39.22964,15.2147,15.71616,17.47931,161.3756,zero
38.90591,15.05968,15.75702,17.48458,161.60453,zero
39.62164,15.11515,15.79747,17.48802,161.50172,zero
40.60527,15.2606,15.81032,17.52449,161.57446,zero
38.61368,15.33922,15.82081,17.51588,161.45036,zero
41.7313,15.05509,15.88588,17.59811,161.54729,zero
40.21652,14.88825,15.84367,17.60791,161.50837,zero
45.30094,13.33104,15.03987,16.38001,100.01814,zero
45.22455,13.28448,15.02518,16.37712,99.88954,zero
45.57531,13.18283,15.05852,16.36649,99.91579,zero
49.5554,14.14951,15.12848,16.60299,103.70364,zero
52.29512,14.03439,15.16388,16.52579,103.12821,zero
49.10215,12.617,15.05931,16.42456,100.64424,zero
48.81096,13.94809,15.09925,16.70974,104.72506,zero
50.74376,13.81208,15.01395,16.55861,104.89753,zero
52.71306,13.9729,15.04027,16.55993,104.38579,zero
52.85069,13.92256,15.07186,16.62808,104.2847,zero
34.66455,12.3545,16.0439,16.88465,166.24623,zero
34.6765,12.39366,15.98181,16.7794,166.59229,zero
35.60035,12.56805,16.0332,16.88854,165.93296,zero
36.89328,12.64459,16.07293,16.9989,165.93098,zero
34.72657,12.41153,16.00583,16.75326,167.12929,zero
33.90454,12.43201,15.938,16.66608,167.81405,zero
34.42999,12.61351,15.95805,16.71275,167.76615,zero
34.64699,12.69883,16.07467,16.79906,167.96323,zero
34.71968,12.76013,16.07114,16.83681,167.8434,zero
35.27791,12.8474,16.10126,16.86971,167.87249,zero
39.89162,15.10947,15.43727,16.43099,168.18704,zero
41.52661,15.26815,15.4256,16.31298,169.55247,zero
40.11427,15.34946,15.49898,16.49759,169.38513,zero
41.65788,15.28885,15.56774,16.49042,169.65993,zero
41.79338,15.27069,15.58591,16.50329,170.06461,zero
41.71213,15.50361,15.58717,16.47996,171.02469,zero
40.96216,15.60446,15.476,16.50843,171.05578,zero
41.40272,15.24658,15.6118,16.47549,170.67805,zero
41.72817,15.60582,15.6034,16.37687,172.27081,zero
41.3142,15.36645,15.61793,16.39262,172.48613,zero
40.91398,16.70718,16.15181,16.27646,172.85903,zero
41.41143,16.7359,16.20669,16.33808,173.19338,zero
41.34078,16.74937,16.21873,16.34582,173.23116,zero
41.57357,16.80579,16.15692,16.31327,173.549,zero
40.98018,16.70458,16.13527,16.31559,173.27751,zero
40.46512,17.05143,16.08362,16.32567,173.05236,zero
40.3549,16.99517,16.03025,16.32157,173.12262,zero
40.45433,16.78724,16.10909,16.29024,173.23297,zero
40.54135,16.79028,16.08217,16.30927,173.35315,zero
40.70348,16.56979,16.12741,16.25692,173.3278,zero
38.7523,15.62031,15.00383,15.78943,165.26481,zero
38.83119,15.71826,14.96098,15.66807,164.86474,zero
38.8255,15.63213,14.8731,15.61525,163.82736,zero
38.77465,15.61893,14.83004,15.68908,163.12072,zero
38.98887,15.58151,14.9397,15.71801,163.93522,zero
38.52126,15.22758,14.94503,15.80801,162.00157,zero
38.72468,15.68542,14.90978,15.81956,160.94557,zero
38.44002,15.30733,15.05597,15.83579,163.77829,zero
39.13442,15.60749,15.09054,15.76866,163.52458,zero
39.09784,15.70979,15.03951,15.76126,163.15931,zero
45.97792,17.22586,16.41228,17.16824,144.09877,zero
45.05977,18.0149,16.39403,17.09538,143.55253,zero
47.03703,17.55057,16.26068,17.00015,145.03328,zero
46.29352,17.25074,16.26177,17.02654,145.49737,zero
44.98277,17.70673,16.33147,17.0004,145.40135,zero
44.30133,17.99944,16.34125,17.018,144.36939,zero
44.67262,17.95336,16.36591,17.07012,144.02696,zero
46.41473,17.51277,16.26435,17.14887,143.92236,zero
48.03373,17.18373,16.1594,17.08087,144.83725,zero
47.87014,17.16126,16.20465,17.08493,145.32241,zero
40.42992,15.84818,17.30043,17.4339,152.08144,zero
42.58154,15.9552,17.10999,17.35194,151.6255,zero
44.81404,15.94691,16.74794,17.29119,151.64915,zero
47.93816,15.62185,16.80766,17.48188,152.12551,zero
48.14049,15.67782,16.68628,17.5931,152.02014,zero
48.39682,15.83721,16.73091,17.70603,151.59158,zero
51.43704,15.78133,16.60807,17.76632,152.10234,zero
52.02727,15.66166,16.49011,17.80418,152.37121,zero
52.0378,15.74698,16.67243,17.85792,152.44922,zero
52.8091,15.82824,16.55375,17.85709,152.39519,zero
43.29176,16.67093,15.46777,17.16261,155.68194,zero
42.62608,16.82282,15.54403,17.20913,155.14189,zero
42.17422,16.66972,15.5777,17.23117,155.3952,zero
42.44042,16.72543,15.60095,17.23745,154.74628,zero
43.34239,16.66835,15.49341,17.20679,154.65103,zero
43.69212,16.7059,15.62084,17.19164,155.88881,zero
43.45354,16.64717,15.50684,17.09952,156.53664,zero
